"","fit4.coefficients"
"factor(Dcode)70888",65163.8266892247
"factor(Dcode)70896",27888.8014599726
"factor(Dcode)70904",40247.6508343581
"factor(Dcode)70912",-123.010330435638
"factor(Dcode)70920",-60.155523865616
"factor(Dcode)70938",32513.5979607068
"factor(Dcode)70953",30210.5966175209
"factor(Dcode)70961",44107.7884617078
"factor(Dcode)70979",26056.9323123897
"factor(Dcode)70995",25176.8993736714
"factor(Dcode)71001",24476.570969337
"factor(Dcode)71019",26110.8580903252
"factor(Dcode)71035",26803.5011503162
"factor(Dcode)71043",27336.8353813452
"factor(Dcode)71050",28410.8105819455
"factor(Dcode)71068",34878.4919153741
"factor(Dcode)71076",26189.5246079184
"factor(Dcode)71084",27223.6439923445
"factor(Dcode)71092",34431.7430671619
"factor(Dcode)71100",23702.1287668623
"factor(Dcode)71134",38907.9193292901
"factor(Dcode)71142",30457.5957955931
"factor(Dcode)71209",28267.2780524352
"factor(Dcode)71217",26786.6899378843
"factor(Dcode)71233",32195.993626245
"factor(Dcode)71266",26264.0185023379
"factor(Dcode)71274",28355.43711095
"factor(Dcode)71282",25099.7633725248
"factor(Dcode)71290",24195.5709325103
"factor(Dcode)71324",26964.9655597599
"factor(Dcode)71357",27657.8736621706
"factor(Dcode)71365",27441.7124591844
"factor(Dcode)71373",33181.6951481498
"factor(Dcode)71381",25517.6570579609
"factor(Dcode)71399",26538.6942177068
"factor(Dcode)71407",37246.2919241622
"factor(Dcode)71415",33740.0063833087
"factor(Dcode)71423",29272.3151127389
"factor(Dcode)71431",28326.5768751406
"factor(Dcode)71449",33542.3217244563
"factor(Dcode)71456",34692.3966235785
"factor(Dcode)71464",26598.6750059059
"factor(Dcode)71472",25958.3353784396
"factor(Dcode)71498",26010.5234933698
"factor(Dcode)71506",29221.9751029295
"factor(Dcode)71514",49786.546838689
"factor(Dcode)71522",26113.4092094336
"factor(Dcode)71530",40330.2212722916
"factor(Dcode)71548",28429.0962143789
"factor(Dcode)71555",32231.62521597
"factor(Dcode)71563",27367.2459632237
"factor(Dcode)71571",32789.970788953
"factor(Dcode)71621",26426.7517261875
"factor(Dcode)71639",29809.7478595425
"factor(Dcode)71647",26857.8993785945
"factor(Dcode)71654",25435.5307480788
"factor(Dcode)71662",36329.7065440108
"factor(Dcode)71670",61836.4090689469
"factor(Dcode)71688",77323.2773550377
"factor(Dcode)71696",31383.2533750616
"factor(Dcode)71738",34570.0503003047
"factor(Dcode)71746",43519.1808460687
"factor(Dcode)71761",57833.658373762
"factor(Dcode)71795",47109.0908646876
"factor(Dcode)71803",36376.5204879832
"factor(Dcode)71811",27414.4794329445
"factor(Dcode)71829",25844.4767936927
"factor(Dcode)71837",28218.6656151496
"factor(Dcode)71845",36373.6297407997
"factor(Dcode)71852",24854.2140846626
"factor(Dcode)71860",30433.2730099663
"factor(Dcode)71894",27792.7823462505
"factor(Dcode)71902",27398.8465885036
"factor(Dcode)71944",25487.1270858084
"factor(Dcode)71951",67393.7984239289
"factor(Dcode)71969",27930.5102453276
"factor(Dcode)71985",24853.1840245441
"factor(Dcode)71993",28590.9380626659
"factor(Dcode)72009",26032.7355315342
"factor(Dcode)72017",25079.4093753393
"factor(Dcode)72025",24663.7528799003
"factor(Dcode)72033",26827.6468522844
"factor(Dcode)72041",27136.4126742184
"factor(Dcode)72058",27657.6211767454
"factor(Dcode)72082",46372.5329785891
"factor(Dcode)72090",24339.9077841728
"factor(Dcode)72108",33796.6417158172
"factor(Dcode)72116",26302.077149306
"factor(Dcode)72132",26253.7845961616
"factor(Dcode)72140",59126.2313307715
"factor(Dcode)72157",27399.3837861105
"factor(Dcode)72173",24527.8858753318
"factor(Dcode)72181",27796.4392107145
"factor(Dcode)72199",27022.0122117476
"factor(Dcode)72207",25441.4874987603
"factor(Dcode)72215",28558.2267907479
"factor(Dcode)72223",26901.7358574124
"factor(Dcode)72231",24845.1578521933
"factor(Dcode)72249",30514.6440475526
"factor(Dcode)72256",25767.7484591413
"factor(Dcode)72264",25376.0853854357
"factor(Dcode)72298",27222.5122560717
"factor(Dcode)72306",36797.1323612583
"factor(Dcode)72348",27050.0941002817
"factor(Dcode)72355",29201.1022503359
"factor(Dcode)72363",34492.7657330326
"factor(Dcode)72371",26284.1969405689
"factor(Dcode)72389",33034.3907542354
"factor(Dcode)72397",26617.1528769576
"factor(Dcode)72405",27134.3057094918
"factor(Dcode)72413",67243.1428355426
"factor(Dcode)72421",35831.9981333846
"factor(Dcode)72447",25765.0701291584
"factor(Dcode)72454",25854.186113684
"factor(Dcode)72462",25589.6165830429
"factor(Dcode)72470",42305.5425840389
"factor(Dcode)72504",27124.5321403334
"factor(Dcode)72512",28125.0497956841
"factor(Dcode)72520",26098.7354552499
"factor(Dcode)72538",27321.21622913
"factor(Dcode)72546",28682.436202281
"factor(Dcode)72553",26171.5078577616
"factor(Dcode)72561",25037.9573183368
"factor(Dcode)72579",30823.4455211152
"factor(Dcode)72603",25515.1453701826
"factor(Dcode)72611",37902.3327180867
"factor(Dcode)72652",26483.306736184
"factor(Dcode)72678",26019.2364810756
"factor(Dcode)72686",29563.168830702
"factor(Dcode)72694",27280.7535429954
"factor(Dcode)72702",27489.5340622038
"factor(Dcode)72710",27074.8299266599
"factor(Dcode)72728",267624.207842623
"factor(Dcode)72736",28433.3679294572
"factor(Dcode)72744",26984.0195263284
"factor(Dcode)72751",33171.7744687018
"factor(Dcode)72769",29609.8560770494
"factor(Dcode)73361",50447.0593780339
"factor(Dcode)73379",46014.2982872794
"factor(Dcode)73387",25664.0487160714
"factor(Dcode)73437",31755.3060549651
"factor(Dcode)73445",31941.1000741517
"factor(Dcode)73452",32449.0175546557
"factor(Dcode)73460",25896.8941302341
"factor(Dcode)73544",26487.4858694456
"factor(Dcode)73551",25367.3075985024
"factor(Dcode)73569",26501.6200562619
"factor(Dcode)73585",35392.5467592756
"factor(Dcode)73593",38711.8388151553
"factor(Dcode)73601",25867.1572042531
"factor(Dcode)73619",28119.5087121079
"factor(Dcode)73635",27459.0868708995
"factor(Dcode)73643",26812.4208130558
"factor(Dcode)73650",26557.1745753865
"factor(Dcode)73668",72510.0173496055
"factor(Dcode)73676",28254.9555855111
"factor(Dcode)73684",44497.2174885551
"factor(Dcode)73692",37276.4118353424
"factor(Dcode)73700",53861.9323007645
"factor(Dcode)73726",32288.331245264
"factor(Dcode)73742",27795.0952689433
"factor(Dcode)73759",25101.8269141654
"factor(Dcode)73783",29618.5421590736
"factor(Dcode)73791",24091.3504252212
"factor(Dcode)73809",27169.2343700789
"factor(Dcode)73825",29283.0478862015
"factor(Dcode)73833",62550.7844867966
"factor(Dcode)73858",50167.713407277
"factor(Dcode)73866",40928.312477842
"factor(Dcode)73874",23810.9960714733
"factor(Dcode)73882",26466.6551392312
"factor(Dcode)73890",27233.0938095306
"factor(Dcode)73908",32925.5790412805
"factor(Dcode)73916",37056.3060006141
"factor(Dcode)73924",26758.9768967426
"factor(Dcode)73932",29820.0108635494
"factor(Dcode)73940",25456.9828656346
"factor(Dcode)73957",25196.6076637224
"factor(Dcode)73965",25379.8034006264
"factor(Dcode)73973",27212.4237167598
"factor(Dcode)73981",26228.5852519042
"factor(Dcode)73999",26118.5723827589
"factor(Dcode)75002",24661.8088835559
"factor(Dcode)75010",41222.8075626649
"factor(Dcode)75028",43144.191009977
"factor(Dcode)75036",52737.4645765823
"factor(Dcode)75044",24833.4447848803
"factor(Dcode)75051",31559.6445734064
"factor(Dcode)75069",24894.6519188937
"factor(Dcode)75077",25703.8813483598
"factor(Dcode)75085",25435.9130248886
"factor(Dcode)75093",28141.6756367594
"factor(Dcode)75101",31750.4923073043
"factor(Dcode)75119",31815.4599353608
"factor(Dcode)75127",30076.0084621941
"factor(Dcode)75150",204740.74497721
"factor(Dcode)75168",33204.0794342162
"factor(Dcode)75176",25986.7903783128
"factor(Dcode)75184",44179.8695564115
"factor(Dcode)75192",24619.7486133709
"factor(Dcode)75200",24639.880616006
"factor(Dcode)75218",62362.4108341784
"factor(Dcode)75234",34654.8616598536
"factor(Dcode)75242",39619.8566373633
"factor(Dcode)75259",30492.0393824279
"factor(Dcode)75267",35546.1599568027
"factor(Dcode)75275",38648.3188378286
"factor(Dcode)75283",31316.336426096
"factor(Dcode)75291",26265.354493198
"factor(Dcode)75309",28998.2693185592
"factor(Dcode)75317",30128.1415742886
"factor(Dcode)75325",28711.5330246344
"factor(Dcode)75333",27148.5796987862
"factor(Dcode)75341",28541.3365314611
"factor(Dcode)75358",26760.127620232
"factor(Dcode)75366",27839.5416237581
"factor(Dcode)75374",30518.1448201798
"factor(Dcode)75382",488177.225520036
"factor(Dcode)75390",29034.758180584
"factor(Dcode)75408",27391.0213472522
"factor(Dcode)75416",45381.676583717
"factor(Dcode)75432",23893.5211200616
"factor(Dcode)75440",28474.8335060885
"factor(Dcode)75457",28093.7752826066
"factor(Dcode)75465",45965.5377494133
"factor(Dcode)75473",29400.122104779
"factor(Dcode)75481",26675.9728315061
"factor(Dcode)75499",27293.2075976305
"factor(Dcode)75507",27976.854126622
"factor(Dcode)75515",29910.6622204026
"factor(Dcode)75523",29838.4443823716
"factor(Dcode)75531",28123.5081718441
"factor(Dcode)75549",28860.4361225502
"factor(Dcode)75556",33317.6330660246
"factor(Dcode)75564",27174.646539656
"factor(Dcode)75572",32397.865680469
"factor(Dcode)75580",28260.458909006
"factor(Dcode)75598",29793.161386387
"factor(Dcode)75606",38958.9762862901
"factor(Dcode)75614",27868.5000082455
"factor(Dcode)75713",30745.1208443274
"factor(Dcode)75739",26300.2547928132
"factor(Dcode)76414",34395.9205195177
"factor(Dcode)76455",36449.0178568555
"factor(Dcode)76505",32922.6663414735
"factor(Dcode)76513",32352.6122283804
"factor(Dcode)76562",29324.0905003791
"factor(Dcode)76687",29345.0989821391
"factor(Dcode)76760",22716.0507254343
"factor(Dcode)76778",32771.479534446
"factor(Dcode)76786",28331.2965003228
"factor(Dcode)76794",27953.5350755097
"factor(Dcode)76802",27777.3913280049
