"","Fiscalyear","Ccode","Dcode","RegularADA","SpecialEdADA","ROCPADA","AdultEdADA","K12ADA","K12ADA_C"
"236",2003,15,63693,2003.6,20.8,0,0,2024.4,2065.66
"237",2003,15,63719,203.35,0,0,0,203.35,203.35
"238",2003,15,63750,4073.35,41.7,0,0,4115.05,4147.27
"239",2003,15,63768,242.23,0,0,0,242.23,271.09
"240",2003,15,63776,2942.96,77.8,0,27.92,3020.76,3145.44
"241",2003,15,63784,363.22,0,0,0,363.22,363.22
"242",2003,15,63792,2415.77,70.88,0,0,2486.65,2524.13
"243",2003,15,63800,2002.09,51.3,0,0,2053.39,2079.54
"244",2003,15,63818,850.26,28.49,194.57,23.39,878.75,948.15
"245",2003,15,63826,4350.11,122.35,0,20.39,4472.46,4527.92
"246",2003,15,63834,847.12,0,0,0,847.12,870.67
"247",2003,15,63842,2812.76,45.02,0,0,2857.78,2996.18
"248",2003,15,63859,1247.42,31.29,155.26,63.45,1278.71,1324.71
"249",2003,15,73544,762.78,0,0,0,762.78,780.71
"250",2003,15,73742,5166.92,178.25,0,84.75,5345.17,5454.97
"251",2003,15,73908,2711.02,34.74,54.69,95.54,2745.76,2842.49
"252",2003,15,75168,1263.14,24.52,0,0,1287.66,1289.29
"253",2003,16,10165,0,0,0,0,0,NA
"254",2003,16,63875,894.17,29.09,0,0,923.26,940.09
"255",2003,16,63883,1853.14,36.57,0,0,1889.71,1929.97
"256",2003,16,63891,2919.38,85.19,0,62.61,3004.57,3062.08
"257",2003,16,63909,91.47,0,0,0,91.47,91.47
"258",2003,16,63917,5062.94,77.5,0,0,5140.44,5152.21
"259",2003,16,63925,3296.28,86.13,0,610.82,3382.41,3662.98
"260",2003,16,63933,232.54,0,0,0,232.54,234.6
"261",2003,16,63941,612.9,0,0,0,612.9,614.59
"262",2003,16,63958,405.29,0.02,0,0,405.31,419.67
"263",2003,16,63966,364.69,33.09,0,0,397.78,420.72
"264",2003,16,63974,2993.63,55.14,0,0,3048.77,3096.33
"265",2003,16,63982,1871.65,41.8,0,120.78,1913.45,1995.18
"266",2003,16,63990,1228.14,0,0,0,1228.14,1252.14
"267",2003,16,73932,2243.46,61.85,0,60.55,2305.31,2372.27
"268",2003,17,10173,0,0,0,0,0,NA
"269",2003,17,64014,1676.11,71.06,0,39,1747.17,1806.14
"270",2003,17,64022,2927.31,117.13,0,36.08,3044.44,3147.7
"271",2003,17,64030,1619.22,46.96,0,7.82,1666.18,1724.27
"272",2003,17,64048,288.41,1,0,0,289.41,293.59
"273",2003,17,64055,1700.23,29.18,0,10.26,1729.41,1760.91
"274",2003,17,64063,565.75,21.3,0,0,587.05,606.24
"275",2003,17,64071,368.64,19.25,0,0,387.89,393.88
"276",2003,18,10181,0,0,0,0,0,NA
"277",2003,18,64089,286.58,0,0,1.79,286.58,292.07
"278",2003,18,64105,451.12,5.43,0,0,456.55,458.63
"279",2003,18,64113,250.8,0,0,0,250.8,250.8
"280",2003,18,64139,958.77,17.43,0,43.69,976.2,1041.8
"281",2003,18,64162,15.58,0,0,0,15.58,15.58
"282",2003,18,64170,213.03,0,0,0,213.03,214.56
"283",2003,18,64188,361.29,0,0,0,361.29,365.36
"284",2003,18,64196,1216.74,24.06,0,0,1240.8,1255.61
"285",2003,18,64204,388.09,0,0,0,388.09,394.37
"286",2003,18,75036,176.02,0,0,0,176.02,178.62
"287",2003,19,10199,0,0,0,0,0,NA
"288",2003,19,40139,0,0,0,0,0,NA
"289",2003,19,40147,0,0,0,0,0,NA
"290",2003,19,40154,0,0,0,0,0,NA
"291",2003,19,40162,0,0,0,0,0,NA
"292",2003,19,40170,0,0,0,0,0,NA
"293",2003,19,40188,0,0,0,0,0,NA
"294",2003,19,40196,0,0,0,0,0,NA
"295",2003,19,40683,0,0,0,0,0,NA
"296",2003,19,40691,0,0,0,0,0,NA
"297",2003,19,40709,0,0,0,0,0,NA
