"","Fiscalyear","Ccode","Dcode","state_rev_PP_16","CAExp_PP","CALocalAssist_PP","timetrend","formula_weight","pred_mod1","pred_mod2"
"103",2003,10,"75127",8738.51,2669,11880,0,0.41975,8449.82404552353,8942.23663193568
"104",2003,10,"75234",9937.92,2669,11880,0,0.38181,9774.196780357,10075.3503245993
"105",2003,10,"75275",12641.67,2669,11880,0,0.0895,10927.5830939881,12906.7907959999
"106",2003,10,"75408",7765.67,2669,11880,0,0.33421,7544.37465062771,7630.02709647753
"107",2003,10,"75598",7967.97,2669,11880,0,0.3452,8268.02448205053,7768.83802669074
"108",2003,11,"62554",7544.51,2669,11880,0,0.10746,7122.715819407,7826.04029200727
"109",2003,11,"62596",7531.56,2669,11880,0,0.08188,7213.52873498534,7614.44329917049
"110",2003,11,"62638",7761.78,2669,11880,0,0.05454,7127.95882223748,7820.96365457822
"111",2003,11,"62646",11424.82,2669,11880,0,0.25798,11300.8520237525,11956.1872377346
"112",2003,11,"62653",14861.71,2669,11880,0,0.3095,18418.9246347536,16758.7866956987
"113",2003,11,"62661",7477.81,2669,11880,0,0.21332,7395.03150497714,7564.86083737194
"114",2003,11,"75481",7472.82,2669,11880,0,0.27905,7340.55223558861,7637.96037699988
"115",2003,12,"62679",7998.75,2669,11880,0,0.17328,11694.5886605578,7299.07760996278
"116",2003,12,"62687",8195.9,2669,11880,0,0.07238,8720.03240027043,8113.6062790394
"117",2003,12,"62695",76644.62,2669,11880,0,0.32133,33108.2894978776,91092.4434778072
"118",2003,12,"62703",9207.16,2669,11880,0,0.10506,8688.5308716896,8465.80374482185
"119",2003,12,"62729",12446.72,2669,11880,0,0.1583,13489.5529285549,12323.4645450419
"120",2003,12,"62737",9567.03,2669,11880,0,0.09916,9059.43095855089,9334.74034506445
"121",2003,12,"62745",7307.57,2669,11880,0,0.0925,6798.39577863497,7288.19528195775
"122",2003,12,"62794",7433.68,2669,11880,0,0.07286,7263.5639898139,7487.03684600066
"123",2003,12,"62810",8434.9,2669,11880,0,0.09712,7930.45145299108,8459.49592172595
"124",2003,12,"62828",8821.85,2669,11880,0,0.04758,7412.86127385689,8400.10073692667
"125",2003,12,"62836",9086.99,2669,11880,0,0.04444,8731.10775059326,9601.03825203745
"126",2003,12,"62851",16830.89,2669,11880,0,0.1625,20488.5290870602,19025.9207187047
"127",2003,12,"62885",7559.57,2669,11880,0,0.05862,7013.8378333571,7634.3934072112
"128",2003,12,"62893",6781.15,2669,11880,0,0.03014,6534.03952044346,7098.93593242089
"129",2003,12,"62901",9795.6,2669,11880,0,0.34709,10204.603803378,9690.8968362373
"130",2003,12,"62919",10765.51,2669,11880,0,0.05882,11952.3197456668,9739.68133387081
"131",2003,12,"62927",16240.07,2669,11880,0,0.38748,20405.7647443394,14421.1023692329
