"","year","x","y","Subject_Category","idx_error","Freq","Percent","CumFreq","CumPercent"
"99","12","Teacher_Asian","PCT_EL","Self-Contained Class",FALSE,7035,98.3,7035,98.3
"100","12","Teacher_Asian","PCT_EL","Self-Contained Class",TRUE,123,1.7,7158,100
"101","12","Teacher_Asian","PCT_EL","Special Designated Subjects",FALSE,517,96.1,517,96.1
"102","12","Teacher_Asian","PCT_EL","Special Designated Subjects",TRUE,21,3.9,538,100
"103","12","Teacher_Asian","PCT_EL",NA,FALSE,5,0.1,5,0.1
"104","12","Teacher_Asian","PCT_EL",NA,TRUE,4764,99.9,4769,100
"105","12","Master_Above","PCT_EL","Art, Music, Dance, Drama",FALSE,3566,86.6,3566,86.6
"106","12","Master_Above","PCT_EL","Art, Music, Dance, Drama",TRUE,551,13.4,4117,100
"107","12","Master_Above","PCT_EL","Career Technical Education/Vocational",FALSE,2273,98,2273,98
"108","12","Master_Above","PCT_EL","Career Technical Education/Vocational",TRUE,46,2,2319,100
"109","12","Master_Above","PCT_EL","Computer Education",FALSE,1485,96.7,1485,96.7
"110","12","Master_Above","PCT_EL","Computer Education",TRUE,50,3.3,1535,100
"111","12","Master_Above","PCT_EL","English Language Arts",FALSE,4298,94.3,4298,94.3
"112","12","Master_Above","PCT_EL","English Language Arts",TRUE,260,5.7,4558,100
"113","12","Master_Above","PCT_EL","Foreign Languages",FALSE,2246,98.8,2246,98.8
"114","12","Master_Above","PCT_EL","Foreign Languages",TRUE,28,1.2,2274,100
"115","12","Master_Above","PCT_EL","History/Social Science",FALSE,4160,98.5,4160,98.5
"116","12","Master_Above","PCT_EL","History/Social Science",TRUE,64,1.5,4224,100
"117","12","Master_Above","PCT_EL","Mathematics",FALSE,4232,98.4,4232,98.4
"118","12","Master_Above","PCT_EL","Mathematics",TRUE,68,1.6,4300,100
"119","12","Master_Above","PCT_EL","Other Instruction-Related Assignments",FALSE,3962,68.9,3962,68.9
"120","12","Master_Above","PCT_EL","Other Instruction-Related Assignments",TRUE,1790,31.1,5752,100
"121","12","Master_Above","PCT_EL","PE/Health",FALSE,4034,89.4,4034,89.4
"122","12","Master_Above","PCT_EL","PE/Health",TRUE,478,10.6,4512,100
"123","12","Master_Above","PCT_EL","Science",FALSE,4158,96.3,4158,96.3
"124","12","Master_Above","PCT_EL","Science",TRUE,161,3.7,4319,100
"125","12","Master_Above","PCT_EL","Self-Contained Class",FALSE,7070,98.8,7070,98.8
"126","12","Master_Above","PCT_EL","Self-Contained Class",TRUE,88,1.2,7158,100
"127","12","Master_Above","PCT_EL","Special Designated Subjects",FALSE,505,93.9,505,93.9
"128","12","Master_Above","PCT_EL","Special Designated Subjects",TRUE,33,6.1,538,100
"129","12","Master_Above","PCT_EL",NA,FALSE,5,0.1,5,0.1
"130","12","Master_Above","PCT_EL",NA,TRUE,4764,99.9,4769,100
"131","12","YearsTeaching","PCT_EL","Art, Music, Dance, Drama",FALSE,3575,86.8,3575,86.8
"132","12","YearsTeaching","PCT_EL","Art, Music, Dance, Drama",TRUE,542,13.2,4117,100
"133","12","YearsTeaching","PCT_EL","Career Technical Education/Vocational",FALSE,2298,99.1,2298,99.1
"134","12","YearsTeaching","PCT_EL","Career Technical Education/Vocational",TRUE,21,0.9,2319,100
"135","12","YearsTeaching","PCT_EL","Computer Education",FALSE,1497,97.5,1497,97.5
"136","12","YearsTeaching","PCT_EL","Computer Education",TRUE,38,2.5,1535,100
"137","12","YearsTeaching","PCT_EL","English Language Arts",FALSE,4299,94.3,4299,94.3
"138","12","YearsTeaching","PCT_EL","English Language Arts",TRUE,259,5.7,4558,100
"139","12","YearsTeaching","PCT_EL","Foreign Languages",FALSE,2249,98.9,2249,98.9
"140","12","YearsTeaching","PCT_EL","Foreign Languages",TRUE,25,1.1,2274,100
"141","12","YearsTeaching","PCT_EL","History/Social Science",FALSE,4162,98.5,4162,98.5
"142","12","YearsTeaching","PCT_EL","History/Social Science",TRUE,62,1.5,4224,100
"143","12","YearsTeaching","PCT_EL","Mathematics",FALSE,4237,98.5,4237,98.5
"144","12","YearsTeaching","PCT_EL","Mathematics",TRUE,63,1.5,4300,100
"145","12","YearsTeaching","PCT_EL","Other Instruction-Related Assignments",FALSE,3965,68.9,3965,68.9
"146","12","YearsTeaching","PCT_EL","Other Instruction-Related Assignments",TRUE,1787,31.1,5752,100
"147","12","YearsTeaching","PCT_EL","PE/Health",FALSE,4044,89.6,4044,89.6
"148","12","YearsTeaching","PCT_EL","PE/Health",TRUE,468,10.4,4512,100
"149","12","YearsTeaching","PCT_EL","Science",FALSE,4159,96.3,4159,96.3
"150","12","YearsTeaching","PCT_EL","Science",TRUE,160,3.7,4319,100
"151","12","YearsTeaching","PCT_EL","Self-Contained Class",FALSE,7072,98.8,7072,98.8
"152","12","YearsTeaching","PCT_EL","Self-Contained Class",TRUE,86,1.2,7158,100
"153","12","YearsTeaching","PCT_EL","Special Designated Subjects",FALSE,533,99.1,533,99.1
"154","12","YearsTeaching","PCT_EL","Special Designated Subjects",TRUE,5,0.9,538,100
"155","12","YearsTeaching","PCT_EL",NA,FALSE,5,0.1,5,0.1
"156","12","YearsTeaching","PCT_EL",NA,TRUE,4764,99.9,4769,100
"157","12","YearsInDistrict","PCT_EL","Art, Music, Dance, Drama",FALSE,3575,86.8,3575,86.8
"158","12","YearsInDistrict","PCT_EL","Art, Music, Dance, Drama",TRUE,542,13.2,4117,100
"159","12","YearsInDistrict","PCT_EL","Career Technical Education/Vocational",FALSE,2298,99.1,2298,99.1
"160","12","YearsInDistrict","PCT_EL","Career Technical Education/Vocational",TRUE,21,0.9,2319,100
"161","12","YearsInDistrict","PCT_EL","Computer Education",FALSE,1497,97.5,1497,97.5
"162","12","YearsInDistrict","PCT_EL","Computer Education",TRUE,38,2.5,1535,100
"163","12","YearsInDistrict","PCT_EL","English Language Arts",FALSE,4299,94.3,4299,94.3
"164","12","YearsInDistrict","PCT_EL","English Language Arts",TRUE,259,5.7,4558,100
"165","12","YearsInDistrict","PCT_EL","Foreign Languages",FALSE,2249,98.9,2249,98.9
"166","12","YearsInDistrict","PCT_EL","Foreign Languages",TRUE,25,1.1,2274,100
"167","12","YearsInDistrict","PCT_EL","History/Social Science",FALSE,4162,98.5,4162,98.5
"168","12","YearsInDistrict","PCT_EL","History/Social Science",TRUE,62,1.5,4224,100
"169","12","YearsInDistrict","PCT_EL","Mathematics",FALSE,4237,98.5,4237,98.5
"170","12","YearsInDistrict","PCT_EL","Mathematics",TRUE,63,1.5,4300,100
"171","12","YearsInDistrict","PCT_EL","Other Instruction-Related Assignments",FALSE,3965,68.9,3965,68.9
"172","12","YearsInDistrict","PCT_EL","Other Instruction-Related Assignments",TRUE,1787,31.1,5752,100
"173","12","YearsInDistrict","PCT_EL","PE/Health",FALSE,4044,89.6,4044,89.6
"174","12","YearsInDistrict","PCT_EL","PE/Health",TRUE,468,10.4,4512,100
"175","12","YearsInDistrict","PCT_EL","Science",FALSE,4159,96.3,4159,96.3
"176","12","YearsInDistrict","PCT_EL","Science",TRUE,160,3.7,4319,100
"177","12","YearsInDistrict","PCT_EL","Self-Contained Class",FALSE,7072,98.8,7072,98.8
"178","12","YearsInDistrict","PCT_EL","Self-Contained Class",TRUE,86,1.2,7158,100
"179","12","YearsInDistrict","PCT_EL","Special Designated Subjects",FALSE,533,99.1,533,99.1
"180","12","YearsInDistrict","PCT_EL","Special Designated Subjects",TRUE,5,0.9,538,100
"181","12","YearsInDistrict","PCT_EL",NA,FALSE,5,0.1,5,0.1
"182","12","YearsInDistrict","PCT_EL",NA,TRUE,4764,99.9,4769,100
"183","12","NewTeaching","PCT_EL","Art, Music, Dance, Drama",FALSE,557,13.5,557,13.5
"184","12","NewTeaching","PCT_EL","Art, Music, Dance, Drama",TRUE,3560,86.5,4117,100
"185","12","NewTeaching","PCT_EL","Career Technical Education/Vocational",FALSE,421,18.2,421,18.2
"186","12","NewTeaching","PCT_EL","Career Technical Education/Vocational",TRUE,1898,81.8,2319,100
"187","12","NewTeaching","PCT_EL","Computer Education",FALSE,66,4.3,66,4.3
"188","12","NewTeaching","PCT_EL","Computer Education",TRUE,1469,95.7,1535,100
"189","12","NewTeaching","PCT_EL","English Language Arts",FALSE,1330,29.2,1330,29.2
"190","12","NewTeaching","PCT_EL","English Language Arts",TRUE,3228,70.8,4558,100
"191","12","NewTeaching","PCT_EL","Foreign Languages",FALSE,343,15.1,343,15.1
"192","12","NewTeaching","PCT_EL","Foreign Languages",TRUE,1931,84.9,2274,100
"193","12","NewTeaching","PCT_EL","History/Social Science",FALSE,976,23.1,976,23.1
"194","12","NewTeaching","PCT_EL","History/Social Science",TRUE,3248,76.9,4224,100
"195","12","NewTeaching","PCT_EL","Mathematics",FALSE,1250,29.1,1250,29.1
"196","12","NewTeaching","PCT_EL","Mathematics",TRUE,3050,70.9,4300,100
"197","12","NewTeaching","PCT_EL","Other Instruction-Related Assignments",FALSE,1053,18.3,1053,18.3
"198","12","NewTeaching","PCT_EL","Other Instruction-Related Assignments",TRUE,4699,81.7,5752,100
"199","12","NewTeaching","PCT_EL","PE/Health",FALSE,624,13.8,624,13.8
"200","12","NewTeaching","PCT_EL","PE/Health",TRUE,3888,86.2,4512,100
"201","12","NewTeaching","PCT_EL","Science",FALSE,1133,26.2,1133,26.2
"202","12","NewTeaching","PCT_EL","Science",TRUE,3186,73.8,4319,100
"203","12","NewTeaching","PCT_EL","Self-Contained Class",FALSE,2358,32.9,2358,32.9
"204","12","NewTeaching","PCT_EL","Self-Contained Class",TRUE,4800,67.1,7158,100
"205","12","NewTeaching","PCT_EL","Special Designated Subjects",FALSE,59,11,59,11
"206","12","NewTeaching","PCT_EL","Special Designated Subjects",TRUE,479,89,538,100
"207","12","NewTeaching","PCT_EL",NA,TRUE,4769,100,4769,100
"208","12","NewInDistrict","PCT_EL","Art, Music, Dance, Drama",FALSE,751,18.2,751,18.2
"209","12","NewInDistrict","PCT_EL","Art, Music, Dance, Drama",TRUE,3366,81.8,4117,100
"210","12","NewInDistrict","PCT_EL","Career Technical Education/Vocational",FALSE,564,24.3,564,24.3
"211","12","NewInDistrict","PCT_EL","Career Technical Education/Vocational",TRUE,1755,75.7,2319,100
"212","12","NewInDistrict","PCT_EL","Computer Education",FALSE,105,6.8,105,6.8
"213","12","NewInDistrict","PCT_EL","Computer Education",TRUE,1430,93.2,1535,100
"214","12","NewInDistrict","PCT_EL","English Language Arts",FALSE,1737,38.1,1737,38.1
"215","12","NewInDistrict","PCT_EL","English Language Arts",TRUE,2821,61.9,4558,100
"216","12","NewInDistrict","PCT_EL","Foreign Languages",FALSE,505,22.2,505,22.2
"217","12","NewInDistrict","PCT_EL","Foreign Languages",TRUE,1769,77.8,2274,100
"218","12","NewInDistrict","PCT_EL","History/Social Science",FALSE,1293,30.6,1293,30.6
"219","12","NewInDistrict","PCT_EL","History/Social Science",TRUE,2931,69.4,4224,100
"220","12","NewInDistrict","PCT_EL","Mathematics",FALSE,1661,38.6,1661,38.6
"221","12","NewInDistrict","PCT_EL","Mathematics",TRUE,2639,61.4,4300,100
"222","12","NewInDistrict","PCT_EL","Other Instruction-Related Assignments",FALSE,1396,24.3,1396,24.3
"223","12","NewInDistrict","PCT_EL","Other Instruction-Related Assignments",TRUE,4356,75.7,5752,100
"224","12","NewInDistrict","PCT_EL","PE/Health",FALSE,843,18.7,843,18.7
"225","12","NewInDistrict","PCT_EL","PE/Health",TRUE,3669,81.3,4512,100
"226","12","NewInDistrict","PCT_EL","Science",FALSE,1463,33.9,1463,33.9
"227","12","NewInDistrict","PCT_EL","Science",TRUE,2856,66.1,4319,100
"228","12","NewInDistrict","PCT_EL","Self-Contained Class",FALSE,2929,40.9,2929,40.9
"229","12","NewInDistrict","PCT_EL","Self-Contained Class",TRUE,4229,59.1,7158,100
"230","12","NewInDistrict","PCT_EL","Special Designated Subjects",FALSE,72,13.4,72,13.4
"231","12","NewInDistrict","PCT_EL","Special Designated Subjects",TRUE,466,86.6,538,100
"232","12","NewInDistrict","PCT_EL",NA,TRUE,4769,100,4769,100
"233","12","Teacher_Tenured","PCT_EL","Art, Music, Dance, Drama",FALSE,3575,86.8,3575,86.8
"234","12","Teacher_Tenured","PCT_EL","Art, Music, Dance, Drama",TRUE,542,13.2,4117,100
"235","12","Teacher_Tenured","PCT_EL","Career Technical Education/Vocational",FALSE,2298,99.1,2298,99.1
"236","12","Teacher_Tenured","PCT_EL","Career Technical Education/Vocational",TRUE,21,0.9,2319,100
"237","12","Teacher_Tenured","PCT_EL","Computer Education",FALSE,1497,97.5,1497,97.5
"238","12","Teacher_Tenured","PCT_EL","Computer Education",TRUE,38,2.5,1535,100
"239","12","Teacher_Tenured","PCT_EL","English Language Arts",FALSE,4299,94.3,4299,94.3
"240","12","Teacher_Tenured","PCT_EL","English Language Arts",TRUE,259,5.7,4558,100
"241","12","Teacher_Tenured","PCT_EL","Foreign Languages",FALSE,2249,98.9,2249,98.9
"242","12","Teacher_Tenured","PCT_EL","Foreign Languages",TRUE,25,1.1,2274,100
"243","12","Teacher_Tenured","PCT_EL","History/Social Science",FALSE,4162,98.5,4162,98.5
"244","12","Teacher_Tenured","PCT_EL","History/Social Science",TRUE,62,1.5,4224,100
"245","12","Teacher_Tenured","PCT_EL","Mathematics",FALSE,4237,98.5,4237,98.5
"246","12","Teacher_Tenured","PCT_EL","Mathematics",TRUE,63,1.5,4300,100
"247","12","Teacher_Tenured","PCT_EL","Other Instruction-Related Assignments",FALSE,3965,68.9,3965,68.9
"248","12","Teacher_Tenured","PCT_EL","Other Instruction-Related Assignments",TRUE,1787,31.1,5752,100
"249","12","Teacher_Tenured","PCT_EL","PE/Health",FALSE,4044,89.6,4044,89.6
"250","12","Teacher_Tenured","PCT_EL","PE/Health",TRUE,468,10.4,4512,100
"251","12","Teacher_Tenured","PCT_EL","Science",FALSE,4159,96.3,4159,96.3
"252","12","Teacher_Tenured","PCT_EL","Science",TRUE,160,3.7,4319,100
"253","12","Teacher_Tenured","PCT_EL","Self-Contained Class",FALSE,7072,98.8,7072,98.8
"254","12","Teacher_Tenured","PCT_EL","Self-Contained Class",TRUE,86,1.2,7158,100
"255","12","Teacher_Tenured","PCT_EL","Special Designated Subjects",FALSE,533,99.1,533,99.1
"256","12","Teacher_Tenured","PCT_EL","Special Designated Subjects",TRUE,5,0.9,538,100
"257","12","Teacher_Tenured","PCT_EL",NA,FALSE,5,0.1,5,0.1
"258","12","Teacher_Tenured","PCT_EL",NA,TRUE,4764,99.9,4769,100
"259","12","UC_CSU_Approved","PCT_EL","Art, Music, Dance, Drama",FALSE,3575,86.8,3575,86.8
"260","12","UC_CSU_Approved","PCT_EL","Art, Music, Dance, Drama",TRUE,542,13.2,4117,100
"261","12","UC_CSU_Approved","PCT_EL","Career Technical Education/Vocational",FALSE,2298,99.1,2298,99.1
"262","12","UC_CSU_Approved","PCT_EL","Career Technical Education/Vocational",TRUE,21,0.9,2319,100
"263","12","UC_CSU_Approved","PCT_EL","Computer Education",FALSE,1497,97.5,1497,97.5
